127.0.0.1 - - [31/May/2021:11:29:05 +0530] "GET / HTTP/1.1" 404 748
0:0:0:0:0:0:0:1 - - [31/May/2021:11:29:25 +0530] "GET /Moni/index.html HTTP/1.1" 200 2698
0:0:0:0:0:0:0:1 - - [31/May/2021:11:29:25 +0530] "GET /Moni/images/logo.PNG HTTP/1.1" 200 31702
0:0:0:0:0:0:0:1 - - [31/May/2021:11:29:25 +0530] "GET /Moni/images/6.jpg HTTP/1.1" 200 43791
0:0:0:0:0:0:0:1 - - [31/May/2021:11:29:27 +0530] "GET /Moni/login.html HTTP/1.1" 200 3537
0:0:0:0:0:0:0:1 - - [31/May/2021:11:29:27 +0530] "GET /Moni/images/logreg.jpg HTTP/1.1" 200 3052025
0:0:0:0:0:0:0:1 - - [31/May/2021:11:29:29 +0530] "GET /Moni/help.html HTTP/1.1" 200 1649
0:0:0:0:0:0:0:1 - - [31/May/2021:11:29:29 +0530] "GET /Moni/images/c2.jpg HTTP/1.1" 200 43112
0:0:0:0:0:0:0:1 - - [31/May/2021:11:29:30 +0530] "GET /Moni/contact.html HTTP/1.1" 200 3768
0:0:0:0:0:0:0:1 - - [31/May/2021:11:29:30 +0530] "GET /Moni/images/jenane.jpeg HTTP/1.1" 200 85319
0:0:0:0:0:0:0:1 - - [31/May/2021:11:29:30 +0530] "GET /Moni/images/abdulla.jpg HTTP/1.1" 200 336819
0:0:0:0:0:0:0:1 - - [31/May/2021:11:29:30 +0530] "GET /Moni/images/monika.jpg HTTP/1.1" 200 480660
0:0:0:0:0:0:0:1 - - [31/May/2021:11:29:54 +0530] "POST /Moni/LoginServlet HTTP/1.1" 200 3108
0:0:0:0:0:0:0:1 - - [31/May/2021:11:30:19 +0530] "POST /Moni/RegisterServlet HTTP/1.1" 200 3537
0:0:0:0:0:0:0:1 - - [31/May/2021:11:30:29 +0530] "POST /Moni/LoginServlet HTTP/1.1" 200 3265
0:0:0:0:0:0:0:1 - - [31/May/2021:11:30:29 +0530] "GET /Moni/images/rec2.png HTTP/1.1" 200 145117
0:0:0:0:0:0:0:1 - - [31/May/2021:11:31:04 +0530] "GET /Moni/plans.html?Operator=Jio HTTP/1.1" 200 219
0:0:0:0:0:0:0:1 - - [31/May/2021:11:31:04 +0530] "GET /Moni/lplan.html HTTP/1.1" 200 1666
0:0:0:0:0:0:0:1 - - [31/May/2021:11:31:04 +0530] "GET /Moni/rplan.html HTTP/1.1" 200 200
0:0:0:0:0:0:0:1 - - [31/May/2021:11:31:04 +0530] "GET /Moni/images/rpay.gif HTTP/1.1" 200 562416
0:0:0:0:0:0:0:1 - - [31/May/2021:11:31:05 +0530] "GET /Moni/images/operators.jpg HTTP/1.1" 200 15595
0:0:0:0:0:0:0:1 - - [31/May/2021:11:31:10 +0530] "GET /Moni/airtel.html? HTTP/1.1" 200 1947
0:0:0:0:0:0:0:1 - - [31/May/2021:11:31:10 +0530] "GET /Moni/images/airtel%20bg.jpg HTTP/1.1" 200 1539
0:0:0:0:0:0:0:1 - - [31/May/2021:11:31:10 +0530] "GET /Moni/images/airtel.jpg HTTP/1.1" 200 23814
0:0:0:0:0:0:0:1 - - [31/May/2021:11:31:11 +0530] "GET /Moni/jio.html? HTTP/1.1" 200 1875
0:0:0:0:0:0:0:1 - - [31/May/2021:11:31:11 +0530] "GET /Moni/images/jio.jpg HTTP/1.1" 200 63252
0:0:0:0:0:0:0:1 - - [31/May/2021:11:31:11 +0530] "GET /Moni/images/jio%20bg.jpg HTTP/1.1" 200 43116
0:0:0:0:0:0:0:1 - - [31/May/2021:11:31:12 +0530] "GET /Moni/vodofone.html? HTTP/1.1" 200 1990
0:0:0:0:0:0:0:1 - - [31/May/2021:11:31:12 +0530] "GET /Moni/images/vodofone.png HTTP/1.1" 200 2993
0:0:0:0:0:0:0:1 - - [31/May/2021:11:31:12 +0530] "GET /Moni/images/vodofone%20bg.jpg HTTP/1.1" 200 15120
0:0:0:0:0:0:0:1 - - [31/May/2021:11:31:30 +0530] "GET /Moni/payment.html?Operator=Jio HTTP/1.1" 200 7875
0:0:0:0:0:0:0:1 - - [31/May/2021:11:31:30 +0530] "GET /Moni/images/debit%20pic.jpg HTTP/1.1" 200 7721
0:0:0:0:0:0:0:1 - - [31/May/2021:11:31:30 +0530] "GET /Moni/images/credit%20pic.jpg HTTP/1.1" 200 6997
0:0:0:0:0:0:0:1 - - [31/May/2021:11:31:30 +0530] "GET /Moni/images/paypal%20pic.png HTTP/1.1" 200 2025
0:0:0:0:0:0:0:1 - - [31/May/2021:11:32:15 +0530] "GET /Moni/end.html? HTTP/1.1" 200 128
